Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
12/26/2017,246.94,247.585,246.88,247.25,249.9269,244.4035,238.8801,2156672,4.5199,0.7577
12/22/2017,247.58,247.61,246.97,247.4,250.3549,243.8275,237.3001,1846965,5.3541,0.7737
12/21/2017,247.73,248.29,247.4201,247.66,250.4836,243.231,235.9784,2446655,5.9636,0.8053
12/20/2017,248.33,248.3989,246.76,247.07,250.3598,242.6065,234.8532,2401391,6.3916,0.7878
12/19/2017,248.31,248.34,246.94,247.4,250.0582,242.0395,234.0208,2773574,6.626,0.8342
12/18/2017,248.01,248.541,247.5299,247.79,249.6984,241.377,233.0556,3285720,6.895,0.8853
12/15/2017,246.21,246.7,245.82,246.25,249.1249,240.657,232.1891,5862827,7.0373,0.8302
12/14/2017,246.89,247.0699,245.47,245.57,248.5024,240.09,231.6776,4713278,7.0077,0.8257
12/13/2017,245.69,246.99,245.65,246.3,248.0234,239.4595,230.8956,3748662,7.1527,0.8994
12/12/2017,244.93,245.87,244.8,245.44,247.0988,238.8585,230.6182,3282365,6.8997,0.8993
12/11/2017,243.77,244.236,243.5,244.17,246.1682,238.3195,230.4708,1857822,6.5867,0.8727
12/8/2017,243.19,243.63,242.58,243.62,245.3713,237.8325,230.2937,2704331,6.3396,0.8838
12/7/2017,241.21,242.87,241.101,242.36,244.5485,237.3875,230.2265,2718309,6.0332,0.8472
12/6/2017,241.72,242.5127,241.55,241.62,243.869,237.0425,230.2159,3976102,5.7598,0.8353
12/5/2017,243.78,243.79,241.77,242.01,243.2558,236.7325,230.2092,4925646,5.5111,0.9045
12/4/2017,245.01,245.57,243.07,243.11,242.4768,236.4025,230.3282,6565826,5.1389,1.0521
12/1/2017,243.14,243.435,239.41,242.45,241.2566,236.006,230.7554,9772738,4.4496,1.1136
11/30/2017,240.68,243.49,240.41,242.84,239.9814,235.6315,231.2816,6586446,3.6921,1.3286
11/29/2017,239.15,239.65,238.77,239.42,238.062,235.199,232.336,3376113,2.4345,1.2372
11/28/2017,236.32,238.44,236.23,238.34,237.0982,234.9095,232.7208,4844535,1.8634,1.2837
11/27/2017,235.5,236.33,235.39,235.73,236.2975,234.659,233.0205,2329453,1.3965,0.8268
11/24/2017,235.56,235.87,235.41,235.47,236.1554,234.581,233.0066,1435533,1.3423,0.7823
11/22/2017,236.06,236.06,234.95,235.17,236.0496,234.5,232.9504,2860767,1.3217,0.7162
11/21/2017,235.17,235.99,235.1,235.73,236.0213,234.3995,232.7777,2749918,1.3838,0.9102
11/20/2017,233.66,234.37,233.42,234.15,235.8301,234.3275,232.8249,2056556,1.2825,0.4409
11/17/2017,233.77,233.97,233.36,233.39,235.9234,234.2525,232.5816,3483299,1.4266,0.2419
11/16/2017,234.22,235.2759,234.19,234.91,235.9408,234.2395,232.5382,2933404,1.4526,0.6971
11/15/2017,233.16,233.67,232.65,232.96,236.0863,234.0765,232.0667,2823614,1.7172,0.2222
11/14/2017,233.97,234.35,232.91,234.28,236.2679,234.0015,231.735,2566475,1.9371,0.5614
11/13/2017,233.66,234.7801,233.63,234.66,236.6734,233.78,230.8866,2452410,2.4753,0.6521
11/10/2017,234.45,234.67,234.1001,234.43,236.9394,233.5195,230.0996,2507020,2.929,0.6331
11/9/2017,234.49,235.28,233.16,234.72,237.2085,233.2345,229.2605,4225161,3.4077,0.6869
11/8/2017,235.37,235.61,234.97,235.46,237.3595,232.915,228.4705,1531925,3.8164,0.7863
11/7/2017,235.7,235.88,234.69,235.42,237.2304,232.5725,227.9146,2390702,4.0055,0.8057
11/6/2017,235.23,235.59,235.09,235.41,237.0396,232.2145,227.3895,2549910,4.1557,0.8311
11/3/2017,235.36,235.39,234.64,235.18,236.8212,231.8205,226.8198,2574404,4.3143,0.8359
11/2/2017,234.21,235.17,233.32,234.96,236.5198,231.439,226.3582,2459402,4.3906,0.8465
11/1/2017,234.6,235.02,233.73,234.19,236.1411,231.073,226.0049,2675736,4.3866,0.8075
10/31/2017,233.64,233.91,233.2,233.63,235.9267,230.684,225.4413,1772047,4.5454,0.781
10/30/2017,233.52,234.14,233.15,233.33,235.714,230.3145,224.915,2672543,4.6888,0.7792
10/27/2017,233.95,234.33,233.36,234.17,235.5519,229.91,224.2681,2944240,4.9079,0.8775
10/26/2017,233.91,234.42,233.75,233.85,235.2702,229.3925,223.5148,2581497,5.1246,0.8792
10/25/2017,234.45,234.45,232.35,233.16,234.8995,228.88,222.8605,3813292,5.2599,0.8555
10/24/2017,234.11,234.7,233.96,234.29,234.5584,228.378,222.1976,3300482,5.4125,0.9783
10/23/2017,233.58,233.58,232.6099,232.65,233.8257,227.798,221.7704,2325057,5.2921,0.9025
10/20/2017,232.47,233.13,231.8899,233.13,233.2742,227.3065,221.3388,3275654,5.2508,0.9879
10/19/2017,230.84,231.66,230.52,231.65,232.3973,226.81,221.2227,2305442,4.9269,0.9331
10/18/2017,231,231.68,230.91,231.46,231.7015,226.401,221.1005,2720490,4.6824,0.9772
10/17/2017,229.71,229.9599,229.52,229.85,230.8867,226.023,221.1593,1838019,4.3037,0.8934
10/16/2017,229.07,229.53,228.81,229.45,230.3492,225.7095,221.0698,2373390,4.1112,0.9031
10/13/2017,228.71,228.97,228.51,228.73,229.8259,225.395,220.9641,1744317,3.9317,0.8763
10/12/2017,228.49,228.81,228.15,228.33,229.411,225.081,220.751,1307260,3.8475,0.8752
10/11/2017,228.32,228.64,228.17,228.61,228.9996,224.7805,220.5614,1423568,3.754,0.9538
10/10/2017,228.21,228.43,227.64,228.26,228.4659,224.438,220.4102,1417660,3.5893,0.9744
10/9/2017,227.89,227.96,227.3399,227.53,227.9243,224.096,220.2677,1006785,3.4167,0.9485
10/6/2017,227.34,227.63,227.23,227.55,227.5078,223.7575,220.0072,2090275,3.3521,1.0056
10/5/2017,226.61,227.66,226.4472,227.64,227.3429,223.292,219.2411,2258473,3.6284,1.0367
10/4/2017,226.39,226.68,226.18,226.41,226.9497,222.8155,218.6813,1747092,3.7108,0.9347
10/3/2017,225.74,226.28,225.61,226.24,226.6514,222.4075,218.1637,2510044,3.8163,0.9515
10/2/2017,224.19,225.39,224.02,225.24,226.318,221.979,217.64,2611182,3.9094,0.8758
9/29/2017,223.39,223.87,223.13,223.82,225.8681,221.713,217.5579,2415802,3.7482,0.7535
9/28/2017,222.97,223.77,222.7,223.6,225.6397,221.498,217.3563,1463204,3.7398,0.7538
9/27/2017,223.4,223.52,222.3505,223.12,225.4324,221.2645,217.0966,2381499,3.7673,0.7226
9/26/2017,223.06,223.5,222.62,222.69,225.2698,221.038,216.8062,1314501,3.829,0.6952
9/25/2017,223.11,223.43,221.99,222.82,225.1658,220.8005,216.4352,2844322,3.9541,0.7313
9/22/2017,223.22,223.46,222.82,223.2,224.9814,220.5615,216.1415,2448419,4.0079,0.7985
9/21/2017,223.9,223.97,223.39,223.47,224.7027,220.2845,215.8663,1741370,4.0114,0.8605
9/20/2017,223.57,223.95,222.95,223.9,224.285,220.007,215.729,1819863,3.889,0.955
9/19/2017,223.37,223.67,223.2299,223.58,223.6638,219.7465,215.8292,2042816,3.5653,0.9893
